case_id,shape,dice_pancreas,iou_pancreas,dice_tumor,iou_tumor,pred_tumor_voxels,true_tumor_voxels,has_tumor_true,has_tumor_pred
case_0026.nii,"[512, 512, 121]",1.0,1.0,1.0,1.0,5995,5995,True,True
case_0027.nii,"[512, 512, 87]",1.0,1.0,1.0,1.0,4744,4744,True,True
case_0028.nii,"[512, 512, 85]",1.0,1.0,1.0,1.0,3194,3194,True,True
case_0029.nii,"[512, 512, 99]",1.0,1.0,1.0,1.0,1186,1186,True,True
case_0030.nii,"[512, 512, 89]",1.0,1.0,1.0,1.0,2856,2856,True,True
case_0031.nii,"[512, 512, 96]",1.0,1.0,1.0,1.0,1275,1275,True,True
case_0032.nii,"[512, 512, 84]",1.0,1.0,1.0,1.0,2369,2369,True,True
case_0033.nii,"[512, 512, 91]",1.0,1.0,1.0,1.0,2511,2511,True,True
case_0034.nii,"[512, 512, 93]",1.0,1.0,1.0,1.0,4020,4020,True,True
case_0035.nii,"[512, 512, 93]",1.0,1.0,1.0,1.0,9042,9042,True,True
case_0036.nii,"[512, 512, 96]",1.0,1.0,1.0,1.0,4575,4575,True,True
case_0037.nii,"[512, 512, 103]",1.0,1.0,1.0,1.0,1035,1035,True,True
case_0038.nii,"[512, 512, 97]",1.0,1.0,1.0,1.0,12496,12496,True,True
case_0039.nii,"[512, 512, 106]",1.0,1.0,1.0,1.0,20737,20737,True,True
case_0040.nii,"[512, 512, 87]",1.0,1.0,1.0,1.0,23909,23909,True,True
case_0041.nii,"[512, 512, 37]",1.0,1.0,1.0,1.0,2738,2738,True,True
case_0042.nii,"[512, 512, 121]",1.0,1.0,1.0,1.0,12504,12504,True,True
case_0043.nii,"[512, 512, 81]",1.0,1.0,1.0,1.0,5822,5822,True,True
case_0044.nii,"[512, 512, 76]",1.0,1.0,1.0,1.0,1220,1220,True,True
case_0045.nii,"[512, 512, 98]",1.0,1.0,1.0,1.0,11123,11123,True,True
case_0046.nii,"[512, 512, 47]",1.0,1.0,1.0,1.0,2782,2782,True,True
case_0047.nii,"[512, 512, 83]",1.0,1.0,1.0,1.0,6939,6939,True,True
case_0048.nii,"[512, 512, 82]",1.0,1.0,1.0,1.0,973,973,True,True
case_0049.nii,"[512, 512, 51]",1.0,1.0,1.0,1.0,1760,1760,True,True
case_0050.nii,"[512, 512, 77]",1.0,1.0,1.0,1.0,5012,5012,True,True
case_0051.nii,"[512, 512, 103]",1.0,1.0,1.0,1.0,27046,27046,True,True
case_0052.nii,"[512, 512, 91]",1.0,1.0,1.0,1.0,3810,3810,True,True
case_0053.nii,"[512, 512, 71]",1.0,1.0,1.0,1.0,9299,9299,True,True
case_0054.nii,"[512, 512, 92]",1.0,1.0,1.0,1.0,1507,1507,True,True
case_0055.nii,"[512, 512, 97]",1.0,1.0,1.0,1.0,5105,5105,True,True
case_0056.nii,"[512, 512, 84]",1.0,1.0,1.0,1.0,13165,13165,True,True
case_0057.nii,"[512, 512, 93]",1.0,1.0,1.0,1.0,4144,4144,True,True
case_0058.nii,"[512, 512, 108]",1.0,1.0,1.0,1.0,14131,14131,True,True
case_0059.nii,"[512, 512, 147]",1.0,1.0,1.0,1.0,6347,6347,True,True
case_0060.nii,"[512, 512, 48]",1.0,1.0,1.0,1.0,4832,4832,True,True
case_0061.nii,"[512, 512, 98]",1.0,1.0,1.0,1.0,7109,7109,True,True
case_0062.nii,"[512, 512, 98]",1.0,1.0,1.0,1.0,3123,3123,True,True
case_0063.nii,"[512, 512, 92]",1.0,1.0,1.0,1.0,2157,2157,True,True
case_0064.nii,"[512, 512, 90]",1.0,1.0,1.0,1.0,9221,9221,True,True
case_0065.nii,"[512, 512, 100]",1.0,1.0,1.0,1.0,588,588,True,True
case_0066.nii,"[512, 512, 98]",1.0,1.0,1.0,1.0,1704,1704,True,True
case_0067.nii,"[512, 512, 55]",1.0,1.0,1.0,1.0,1076,1076,True,True
case_0068.nii,"[512, 512, 102]",1.0,1.0,1.0,1.0,2084,2084,True,True
case_0069.nii,"[512, 512, 99]",1.0,1.0,1.0,1.0,1387,1387,True,True
case_0070.nii,"[512, 512, 98]",1.0,1.0,1.0,1.0,1074,1074,True,True
case_0071.nii,"[512, 512, 57]",1.0,1.0,1.0,1.0,910,910,True,True
case_0072.nii,"[512, 512, 100]",1.0,1.0,1.0,1.0,18965,18965,True,True
case_0073.nii,"[512, 512, 98]",1.0,1.0,1.0,1.0,5030,5030,True,True
case_0074.nii,"[512, 512, 134]",1.0,1.0,1.0,1.0,3948,3948,True,True
case_0075.nii,"[512, 512, 85]",1.0,1.0,1.0,1.0,7572,7572,True,True
case_0076.nii,"[512, 512, 104]",1.0,1.0,1.0,1.0,454,454,True,True
case_0077.nii,"[512, 512, 97]",1.0,1.0,1.0,1.0,4516,4516,True,True
case_0078.nii,"[512, 512, 82]",1.0,1.0,1.0,1.0,15567,15567,True,True
case_0079.nii,"[512, 512, 102]",1.0,1.0,1.0,1.0,3615,3615,True,True
case_0080.nii,"[512, 512, 73]",1.0,1.0,1.0,1.0,5235,5235,True,True
case_0081.nii,"[512, 512, 126]",1.0,1.0,1.0,1.0,5075,5075,True,True
case_0082.nii,"[512, 512, 44]",1.0,1.0,1.0,1.0,1966,1966,True,True
case_0083.nii,"[512, 512, 130]",1.0,1.0,1.0,1.0,2175,2175,True,True
case_0084.nii,"[512, 512, 59]",1.0,1.0,1.0,1.0,5261,5261,True,True
case_0085.nii,"[512, 512, 60]",1.0,1.0,1.0,1.0,4070,4070,True,True
case_0086.nii,"[512, 512, 85]",1.0,1.0,1.0,1.0,3547,3547,True,True
case_0087.nii,"[512, 512, 95]",1.0,1.0,1.0,1.0,9006,9006,True,True
case_0088.nii,"[512, 512, 56]",1.0,1.0,1.0,1.0,3931,3931,True,True
case_0089.nii,"[512, 512, 93]",1.0,1.0,1.0,1.0,1580,1580,True,True
case_0090.nii,"[512, 512, 85]",1.0,1.0,1.0,1.0,880,880,True,True
case_0091.nii,"[512, 512, 42]",1.0,1.0,1.0,1.0,1438,1438,True,True
case_0092.nii,"[512, 512, 77]",1.0,1.0,1.0,1.0,5419,5419,True,True
case_0093.nii,"[512, 512, 95]",1.0,1.0,1.0,1.0,3489,3489,True,True
case_0094.nii,"[512, 512, 77]",1.0,1.0,1.0,1.0,2686,2686,True,True
case_0095.nii,"[512, 512, 66]",1.0,1.0,1.0,1.0,2626,2626,True,True
case_0096.nii,"[512, 512, 90]",1.0,1.0,1.0,1.0,6059,6059,True,True
case_0097.nii,"[512, 512, 75]",1.0,1.0,1.0,1.0,9424,9424,True,True
case_0098.nii,"[512, 512, 85]",1.0,1.0,1.0,1.0,445,445,True,True
case_0099.nii,"[512, 512, 95]",1.0,1.0,1.0,1.0,3918,3918,True,True
case_0100.nii,"[512, 512, 101]",1.0,1.0,1.0,1.0,7480,7480,True,True
case_0101.nii,"[512, 512, 87]",1.0,1.0,1.0,1.0,1339,1339,True,True
case_0102.nii,"[512, 512, 103]",1.0,1.0,1.0,1.0,1662,1662,True,True
case_0103.nii,"[512, 512, 95]",1.0,1.0,1.0,1.0,1298,1298,True,True
case_0104.nii,"[512, 512, 81]",1.0,1.0,1.0,1.0,1584,1584,True,True
case_0105.nii,"[512, 512, 91]",1.0,1.0,1.0,1.0,1750,1750,True,True
case_0106.nii,"[512, 512, 110]",1.0,1.0,1.0,1.0,3400,3400,True,True
case_0107.nii,"[512, 512, 89]",1.0,1.0,1.0,1.0,1199,1199,True,True
case_0108.nii,"[512, 512, 95]",1.0,1.0,1.0,1.0,8857,8857,True,True
case_0109.nii,"[512, 512, 87]",1.0,1.0,1.0,1.0,2275,2275,True,True
case_0110.nii,"[512, 512, 79]",1.0,1.0,1.0,1.0,20299,20299,True,True
case_0111.nii,"[512, 512, 76]",1.0,1.0,1.0,1.0,1812,1812,True,True
case_0112.nii,"[512, 512, 51]",1.0,1.0,1.0,1.0,2450,2450,True,True
case_0113.nii,"[512, 512, 95]",1.0,1.0,1.0,1.0,9042,9042,True,True
case_0114.nii,"[512, 512, 57]",1.0,1.0,1.0,1.0,6609,6609,True,True
case_0115.nii,"[512, 512, 113]",1.0,1.0,1.0,1.0,4643,4643,True,True
case_0116.nii,"[512, 512, 98]",1.0,1.0,1.0,1.0,4645,4645,True,True
case_0117.nii,"[512, 512, 92]",1.0,1.0,1.0,1.0,2963,2963,True,True
case_0118.nii,"[512, 512, 73]",1.0,1.0,1.0,1.0,1813,1813,True,True
case_0119.nii,"[512, 512, 111]",1.0,1.0,1.0,1.0,3037,3037,True,True
case_0120.nii,"[512, 512, 95]",1.0,1.0,1.0,1.0,9060,9060,True,True
case_0121.nii,"[512, 512, 89]",1.0,1.0,1.0,1.0,2706,2706,True,True
case_0122.nii,"[512, 512, 76]",1.0,1.0,1.0,1.0,4689,4689,True,True
case_0123.nii,"[512, 512, 106]",1.0,1.0,1.0,1.0,681,681,True,True
